4133984|119668|2180|4|28|47254.48|0.08|0.01|N|O|1995-06-29|1995-07-09|1995-07-21|DELIVER IN PERSON|REG AIR| carefully regular realms sleep a
5829988|19192|6696|1|16|17779.04|0.00|0.03|R|F|1993-08-20|1993-07-01|1993-09-08|TAKE BACK RETURN|TRUCK|the ironic deposits are atop 
3134948|155843|3389|3|29|55066.36|0.01|0.05|R|F|1992-08-31|1992-10-22|1992-09-21|NONE|SHIP|ajole blithe
5880128|14411|9414|2|44|58318.04|0.00|0.06|N|O|1998-01-17|1998-01-06|1998-02-09|NONE|RAIL|requests impress. unusual
4954022|12707|7710|4|33|53450.10|0.04|0.02|N|O|1995-06-21|1995-06-14|1995-07-10|COLLECT COD|MAIL|nst the blithely pending gifts. fin
1271972|115431|7943|6|33|47732.19|0.02|0.05|N|O|1996-08-19|1996-08-23|1996-09-18|COLLECT COD|FOB|fully even pinto bean
391846|158705|3736|6|34|59965.80|0.08|0.06|A|F|1993-10-09|1993-10-08|1993-10-27|NONE|TRUCK|wake slyly brave deposits. re
1040550|145173|7688|5|8|9745.36|0.10|0.08|R|F|1992-08-19|1992-08-29|1992-08-27|COLLECT COD|RAIL|e the special, unusual theodolites.
4717223|41968|1969|1|16|30559.36|0.02|0.04|N|O|1997-01-02|1997-02-23|1997-01-17|DELIVER IN PERSON|FOB|inal, final pinto beans cajole sl
5021287|83999|1524|1|12|23795.88|0.08|0.02|R|F|1994-06-11|1994-05-17|1994-06-28|COLLECT COD|REG AIR|inal, regular request
1672961|39218|6728|3|47|54388.87|0.00|0.08|A|F|1994-10-20|1994-11-03|1994-11-17|DELIVER IN PERSON|TRUCK|deposits! carefully regular id
5748678|61837|1838|2|48|86343.84|0.03|0.06|A|F|1992-07-06|1992-09-09|1992-07-26|NONE|SHIP| sheaves use around the care
1711878|189306|1825|4|17|23720.10|0.07|0.05|N|O|1997-01-04|1996-11-16|1997-01-06|DELIVER IN PERSON|RAIL|y carefully regular theodoli
3037317|170369|2887|3|48|69089.28|0.03|0.05|A|F|1993-04-19|1993-04-01|1993-05-09|DELIVER IN PERSON|RAIL|y final deposits thras
3991586|32588|98|1|47|71467.26|0.05|0.04|N|O|1997-11-01|1997-09-26|1997-11-14|COLLECT COD|SHIP|ptotes cajole express packag
903332|98114|624|7|13|14457.43|0.07|0.05|N|O|1996-01-14|1996-01-08|1996-01-23|COLLECT COD|FOB|y even accounts
785728|24180|9185|4|14|15458.52|0.04|0.00|N|O|1998-04-23|1998-05-04|1998-05-08|NONE|RAIL|counts must have to integrate 
3667430|54032|1548|2|33|32538.99|0.03|0.07|N|O|1998-08-15|1998-07-04|1998-08-19|DELIVER IN PERSON|AIR| wake slyly quickly express pinto be
4479010|144703|9732|2|25|43692.50|0.04|0.07|R|F|1993-09-02|1993-09-07|1993-09-12|NONE|RAIL|ar deposits boost blithely along the
5830691|153687|6203|3|28|48739.04|0.06|0.07|A|F|1993-10-15|1993-11-20|1993-10-19|COLLECT COD|AIR|e of the ironic, regu
7648|90832|833|1|9|16405.47|0.10|0.07|N|O|1997-07-18|1997-07-04|1997-08-11|TAKE BACK RETURN|REG AIR|heodolites boost carefully regular dinos. 
2212162|154637|7153|3|34|57515.42|0.10|0.05|N|O|1996-02-06|1996-04-13|1996-02-19|COLLECT COD|REG AIR|requests wake blithely
1874691|121907|1908|5|11|21217.90|0.02|0.02|R|F|1995-03-25|1995-05-25|1995-04-06|TAKE BACK RETURN|MAIL| requests are alongside o
2725315|180247|248|7|32|42471.68|0.06|0.08|A|F|1995-05-23|1995-08-03|1995-05-25|DELIVER IN PERSON|AIR|Tiresias after
1727712|80721|8246|2|10|17017.20|0.06|0.06|R|F|1992-11-12|1992-11-17|1992-12-03|NONE|TRUCK|rding to the fluffily even theodolites
5991780|158872|8873|2|38|73373.06|0.05|0.02|N|O|1997-04-30|1997-06-05|1997-05-17|DELIVER IN PERSON|REG AIR|ffily. slyly 
5810304|58303|3314|3|40|50452.00|0.10|0.06|R|F|1993-10-23|1993-11-04|1993-11-17|NONE|TRUCK|inst the pendi
4566534|42179|7188|2|17|19059.89|0.00|0.02|R|F|1992-06-30|1992-07-02|1992-07-20|DELIVER IN PERSON|TRUCK|ously final requests x-ra
5839143|120275|5300|2|37|47924.99|0.08|0.08|R|F|1993-08-03|1993-06-28|1993-08-17|COLLECT COD|REG AIR|sleep after the requests.
186055|181450|6487|5|21|32160.45|0.02|0.02|R|F|1994-06-07|1994-05-16|1994-06-14|NONE|TRUCK| deposits promise request
48454|31208|1209|2|40|45568.00|0.00|0.01|N|O|1996-06-16|1996-05-11|1996-07-04|TAKE BACK RETURN|FOB|asymptotes wake slyly deposits. specia
2578307|69213|4226|2|48|56746.08|0.05|0.08|A|F|1994-04-23|1994-03-25|1994-05-12|DELIVER IN PERSON|SHIP|he furiously final requests. accounts ag
3095046|24350|1857|1|34|43327.90|0.09|0.05|N|O|1998-02-27|1998-03-29|1998-03-22|TAKE BACK RETURN|MAIL|rs sleep fur
4117319|32903|2904|3|37|67928.30|0.06|0.03|N|O|1997-03-27|1997-02-17|1997-03-31|DELIVER IN PERSON|TRUCK|tions are. f
1080387|7256|2257|1|28|32571.00|0.00|0.03|A|F|1995-03-25|1995-01-14|1995-03-30|DELIVER IN PERSON|TRUCK|ar pinto bean
2100771|185063|2618|4|1|1148.06|0.02|0.04|N|O|1995-09-22|1995-08-25|1995-09-30|DELIVER IN PERSON|FOB|al theodolites cajole furiously silen
