2|16|31710.56|0.07|0.04
6|27|41159.61|0.02|0.05
4|31|39596.30|0.03|0.05
3|22|33825.00|0.01|0.03
6|49|48072.43|0.07|0.00
5|44|46206.60|0.07|0.03
5|11|12563.65|0.03|0.03
5|2|2032.06|0.01|0.04
2|38|58313.28|0.01|0.00
2|37|63998.53|0.03|0.03
1|20|40499.60|0.00|0.00
3|32|49968.00|0.02|0.01
2|16|25352.64|0.05|0.04
1|50|75720.50|0.10|0.05
1|41|44529.28|0.01|0.06
3|5|7592.75|0.01|0.00
3|8|8824.16|0.05|0.04
4|30|48588.60|0.00|0.05
4|12|19424.52|0.00|0.04
3|23|43561.54|0.07|0.04
7|47|51190.52|0.07|0.02
1|37|62441.94|0.00|0.08
2|32|60954.24|0.00|0.07
1|45|80544.60|0.10|0.04
1|14|23150.26|0.00|0.02
1|18|19586.70|0.06|0.05
5|21|38319.54|0.03|0.04
5|13|20938.19|0.10|0.04
1|46|70591.14|0.10|0.04
2|20|31289.40|0.00|0.07
2|46|72846.06|0.07|0.00
4|6|9021.30|0.01|0.05
3|10|10830.10|0.05|0.06
2|31|45492.50|0.10|0.01
3|30|52940.10|0.02|0.01
2|14|27145.30|0.03|0.01
6|36|61546.32|0.03|0.08
2|31|34069.31|0.08|0.07
5|22|20834.66|0.01|0.01
2|41|56963.35|0.10|0.06
2|43|86257.57|0.07|0.06
3|47|87834.07|0.04|0.01
3|48|84995.52|0.00|0.05
1|45|45630.45|0.03|0.01
3|27|43623.90|0.04|0.08
2|6|8750.22|0.04|0.01
1|12|17500.44|0.01|0.00
3|14|25841.90|0.00|0.08
1|47|79037.55|0.02|0.04
5|50|91191.00|0.09|0.00
1|1|1382.37|0.05|0.05
3|31|55109.94|0.00|0.00
2|11|17253.61|0.00|0.07
6|30|33635.70|0.07|0.01
6|42|76559.28|0.00|0.05
5|29|48362.72|0.00|0.05
3|38|73980.30|0.03|0.00
2|3|4633.50|0.09|0.04
4|50|89139.50|0.03|0.03
4|46|77865.12|0.08|0.02
6|44|65275.76|0.08|0.04
1|46|53967.66|0.08|0.02
4|6|11339.40|0.02|0.05
3|14|18807.74|0.02|0.08
4|23|32600.20|0.07|0.03
1|4|4784.96|0.05|0.08
1|43|83199.41|0.03|0.05
5|45|46486.80|0.08|0.02
5|3|5627.70|0.00|0.06
3|48|85379.52|0.10|0.04
2|49|84217.28|0.00|0.02
4|16|29420.64|0.05|0.02
6|40|58817.60|0.07|0.05
3|46|54329.68|0.09|0.08
2|42|83032.32|0.05|0.08
2|12|12924.36|0.05|0.00
1|4|7779.52|0.04|0.02
4|37|54552.06|0.07|0.00
3|40|72193.60|0.10|0.06
1|5|5535.15|0.09|0.07
4|47|50760.47|0.03|0.01
2|42|46286.10|0.09|0.04
4|24|40433.52|0.06|0.04
5|44|70251.28|0.10|0.03
4|13|22069.06|0.07|0.04
